Date,Region,Crop_Type,Pest_Type,Severity,Treatment,Health_Status
2023-1-1,Zhengzhou,corn,borer,mild,none,healthy
2023-1-1,Luoyang,wheat,blight,moderate,none,dead
2023-1-1,Kaifeng,wheat,borer,mild,pesticide_spraying,healthy
2023-1-1,Anyang,wheat,borer,moderate,crop_removal,healthy
2023-1-1,Nanyang,wheat,none,severe,crop_removal,healthy
2023-1-2,Zhengzhou,corn,borer,severe,pesticide_spraying,healthy
2023-1-2,Luoyang,rice,borer,moderate,crop_removal,healthy
2023-1-2,Kaifeng,wheat,none,severe,none,dead
2023-1-2,Anyang,rice,blight,severe,crop_removal,dead
2023-1-2,Nanyang,rice,borer,mild,crop_removal,healthy
2023-1-3,Zhengzhou,wheat,aphids,mild,none,dead
2023-1-3,Luoyang,wheat,none,moderate,none,affected
2023-1-3,Kaifeng,rice,borer,moderate,crop_removal,dead
2023-1-3,Anyang,rice,blight,severe,crop_removal,healthy
2023-1-3,Nanyang,rice,aphids,severe,none,dead
2023-1-4,Zhengzhou,corn,none,moderate,crop_removal,affected
2023-1-4,Luoyang,corn,none,severe,pesticide_spraying,affected
2023-1-4,Kaifeng,rice,borer,mild,none,healthy
2023-1-4,Anyang,corn,borer,moderate,pesticide_spraying,healthy
2023-1-4,Nanyang,rice,blight,moderate,pesticide_spraying,affected
2023-1-5,Zhengzhou,wheat,borer,moderate,pesticide_spraying,dead
2023-1-5,Luoyang,rice,blight,moderate,none,healthy
2023-1-5,Kaifeng,wheat,blight,severe,none,affected
2023-1-5,Anyang,corn,blight,moderate,crop_removal,affected
2023-1-5,Nanyang,corn,blight,mild,crop_removal,healthy
2023-1-6,Zhengzhou,wheat,aphids,severe,none,dead
2023-1-6,Luoyang,corn,aphids,severe,none,affected
2023-1-6,Kaifeng,corn,borer,severe,crop_removal,dead
2023-1-6,Anyang,rice,aphids,moderate,none,affected
2023-1-6,Nanyang,corn,aphids,severe,none,healthy
2023-1-7,Zhengzhou,rice,none,mild,crop_removal,dead
2023-1-7,Luoyang,rice,aphids,mild,none,dead
2023-1-7,Kaifeng,rice,blight,mild,crop_removal,dead
2023-1-7,Anyang,wheat,borer,moderate,none,healthy
2023-1-7,Nanyang,rice,none,severe,pesticide_spraying,healthy
2023-1-8,Zhengzhou,rice,borer,mild,pesticide_spraying,healthy
2023-1-8,Luoyang,rice,aphids,moderate,pesticide_spraying,dead
2023-1-8,Kaifeng,corn,borer,severe,pesticide_spraying,affected
2023-1-8,Anyang,corn,borer,severe,none,dead
2023-1-8,Nanyang,rice,blight,mild,none,healthy
2023-1-9,Zhengzhou,wheat,aphids,severe,crop_removal,dead
2023-1-9,Luoyang,rice,borer,moderate,pesticide_spraying,dead
2023-1-9,Kaifeng,wheat,borer,mild,crop_removal,affected
2023-1-9,Anyang,wheat,aphids,severe,none,affected
2023-1-9,Nanyang,corn,none,moderate,pesticide_spraying,affected
2023-1-10,Zhengzhou,wheat,aphids,mild,pesticide_spraying,dead
2023-1-10,Luoyang,wheat,aphids,moderate,crop_removal,affected
2023-1-10,Kaifeng,corn,blight,moderate,none,dead
2023-1-10,Anyang,rice,aphids,mild,pesticide_spraying,dead
2023-1-10,Nanyang,rice,blight,mild,crop_removal,affected
2023-1-11,Zhengzhou,corn,aphids,severe,pesticide_spraying,dead
2023-1-11,Luoyang,corn,aphids,moderate,crop_removal,affected
2023-1-11,Kaifeng,wheat,aphids,moderate,pesticide_spraying,dead
2023-1-11,Anyang,rice,blight,severe,none,affected
2023-1-11,Nanyang,corn,blight,mild,none,affected
2023-1-12,Zhengzhou,rice,none,mild,crop_removal,healthy
2023-1-12,Luoyang,corn,none,severe,pesticide_spraying,dead
2023-1-12,Kaifeng,rice,borer,severe,none,affected
2023-1-12,Anyang,corn,none,moderate,crop_removal,dead
2023-1-12,Nanyang,wheat,borer,mild,none,dead
2023-1-13,Zhengzhou,corn,none,mild,crop_removal,healthy
2023-1-13,Luoyang,rice,none,moderate,crop_removal,healthy
2023-1-13,Kaifeng,wheat,none,severe,none,healthy
2023-1-13,Anyang,wheat,blight,mild,none,healthy
2023-1-13,Nanyang,corn,aphids,moderate,crop_removal,healthy
2023-1-14,Zhengzhou,wheat,none,moderate,none,dead
2023-1-14,Luoyang,rice,blight,severe,crop_removal,healthy
2023-1-14,Kaifeng,wheat,blight,moderate,crop_removal,healthy
2023-1-14,Anyang,wheat,none,mild,pesticide_spraying,affected
2023-1-14,Nanyang,corn,blight,moderate,crop_removal,dead
2023-1-15,Zhengzhou,rice,blight,moderate,none,affected
2023-1-15,Luoyang,rice,borer,moderate,pesticide_spraying,affected
2023-1-15,Kaifeng,wheat,none,mild,none,dead
2023-1-15,Anyang,wheat,borer,severe,crop_removal,dead
2023-1-15,Nanyang,wheat,aphids,severe,crop_removal,dead
2023-1-16,Zhengzhou,wheat,blight,moderate,none,healthy
2023-1-16,Luoyang,corn,aphids,moderate,none,dead
2023-1-16,Kaifeng,corn,borer,moderate,none,affected
2023-1-16,Anyang,rice,aphids,mild,pesticide_spraying,healthy
2023-1-16,Nanyang,rice,blight,moderate,crop_removal,dead
2023-1-17,Zhengzhou,wheat,aphids,moderate,none,affected
2023-1-17,Luoyang,corn,blight,mild,none,affected
2023-1-17,Kaifeng,corn,borer,moderate,none,affected
2023-1-17,Anyang,wheat,blight,severe,crop_removal,affected
2023-1-17,Nanyang,corn,borer,mild,crop_removal,affected
2023-1-18,Zhengzhou,corn,borer,mild,pesticide_spraying,healthy
2023-1-18,Luoyang,corn,borer,severe,none,dead
2023-1-18,Kaifeng,wheat,none,severe,crop_removal,affected
2023-1-18,Anyang,corn,blight,severe,none,dead
2023-1-18,Nanyang,corn,blight,severe,none,healthy
2023-1-19,Zhengzhou,rice,aphids,severe,none,healthy
2023-1-19,Luoyang,rice,none,severe,none,affected
2023-1-19,Kaifeng,rice,blight,severe,crop_removal,affected
2023-1-19,Anyang,rice,blight,severe,none,healthy
2023-1-19,Nanyang,wheat,aphids,severe,pesticide_spraying,healthy
2023-1-20,Zhengzhou,rice,aphids,mild,none,affected
2023-1-20,Luoyang,corn,aphids,moderate,pesticide_spraying,dead
2023-1-20,Kaifeng,wheat,blight,severe,pesticide_spraying,affected
2023-1-20,Anyang,wheat,blight,mild,none,dead
2023-1-20,Nanyang,wheat,none,severe,crop_removal,dead
2023-1-21,Zhengzhou,rice,blight,moderate,crop_removal,affected
2023-1-21,Luoyang,wheat,blight,moderate,none,healthy
2023-1-21,Kaifeng,corn,none,moderate,pesticide_spraying,dead
2023-1-21,Anyang,corn,blight,severe,pesticide_spraying,dead
2023-1-21,Nanyang,corn,aphids,severe,pesticide_spraying,healthy
2023-1-22,Zhengzhou,wheat,none,mild,crop_removal,healthy
2023-1-22,Luoyang,wheat,blight,moderate,pesticide_spraying,dead
2023-1-22,Kaifeng,rice,borer,severe,crop_removal,affected
2023-1-22,Anyang,rice,aphids,mild,none,affected
2023-1-22,Nanyang,wheat,none,moderate,none,affected
2023-1-23,Zhengzhou,corn,none,mild,crop_removal,dead
2023-1-23,Luoyang,corn,none,mild,none,dead
2023-1-23,Kaifeng,rice,blight,severe,crop_removal,dead
2023-1-23,Anyang,rice,blight,severe,crop_removal,affected
2023-1-23,Nanyang,wheat,aphids,mild,crop_removal,healthy
2023-1-24,Zhengzhou,corn,borer,severe,pesticide_spraying,affected
2023-1-24,Luoyang,rice,blight,mild,pesticide_spraying,healthy
2023-1-24,Kaifeng,rice,aphids,moderate,none,dead
2023-1-24,Anyang,corn,none,severe,pesticide_spraying,dead
2023-1-24,Nanyang,corn,none,severe,crop_removal,affected
2023-1-25,Zhengzhou,rice,borer,severe,pesticide_spraying,healthy
2023-1-25,Luoyang,corn,aphids,moderate,crop_removal,affected
2023-1-25,Kaifeng,corn,borer,severe,none,healthy
2023-1-25,Anyang,rice,blight,mild,crop_removal,healthy
2023-1-25,Nanyang,corn,borer,moderate,none,healthy
2023-1-26,Zhengzhou,rice,blight,moderate,pesticide_spraying,dead
2023-1-26,Luoyang,corn,none,moderate,crop_removal,affected
2023-1-26,Kaifeng,corn,blight,severe,crop_removal,dead
2023-1-26,Anyang,rice,none,mild,crop_removal,healthy
2023-1-26,Nanyang,corn,aphids,mild,crop_removal,dead
2023-1-27,Zhengzhou,wheat,none,severe,crop_removal,affected
2023-1-27,Luoyang,corn,aphids,severe,pesticide_spraying,healthy
2023-1-27,Kaifeng,corn,borer,mild,none,dead
2023-1-27,Anyang,corn,none,moderate,crop_removal,affected
2023-1-27,Nanyang,wheat,none,mild,crop_removal,dead
2023-1-28,Zhengzhou,wheat,blight,mild,pesticide_spraying,healthy
2023-1-28,Luoyang,rice,none,mild,none,healthy
